name,cur_gender,cur_year,number
Mary,F,1911,3188
John,M,1911,1672
Mary,F,1912,4106
John,M,1912,3067
Mary,F,1913,4739
John,M,1913,3706
Mary,F,1914,5981
John,M,1914,5192
Mary,F,1915,7970
John,M,1915,6443
Mary,F,1916,7730
John,M,1916,6543
Mary,F,1917,7988
John,M,1917,6620
Mary,F,1918,8184
John,M,1918,7557
John,M,1919,6791
Mary,F,1919,7428
John,M,1920,7041
Mary,F,1920,7650
Mary,F,1921,7771
John,M,1921,7196
Mary,F,1922,7302
John,M,1922,7071
Mary,F,1923,7035
John,M,1923,7212
Mary,F,1924,7200
John,M,1924,7262
Mary,F,1925,6564
John,M,1925,6937
Mary,F,1926,6007
John,M,1926,6650
Mary,F,1927,6228
John,M,1927,6683
Mary,F,1928,5740
John,M,1928,6353
John,M,1929,6254
Mary,F,1929,5302
John,M,1930,6238
Mary,F,1930,5188
Robert,M,1931,5952
Mary,F,1931,4916
John,M,1932,5870
Mary,F,1932,4535
Mary,F,1933,4122
John,M,1933,5713
Mary,F,1934,4091
Robert,M,1934,5591
Robert,M,1935,5763
Mary,F,1935,3929
Robert,M,1936,6121
Mary,F,1936,3932
Robert,M,1937,6530
Mary,F,1937,4037
Barbara,F,1938,4215
Robert,M,1938,6477
Robert,M,1939,6113
Barbara,F,1939,3937
Robert,M,1940,6283
Mary,F,1940,3943
Robert,M,1941,6563
Barbara,F,1941,4238
Barbara,F,1942,4945
Robert,M,1942,7661
Barbara,F,1943,4508
Robert,M,1943,7922
Mary,F,1944,4139
Robert,M,1944,7225
Barbara,F,1945,4117
Robert,M,1945,7607
Barbara,F,1946,4925
Robert,M,1946,9296
Robert,M,1947,10020
Linda,F,1947,7542
Robert,M,1948,9014
Linda,F,1948,6946
Robert,M,1949,8851
Linda,F,1949,6652
Robert,M,1950,8627
Linda,F,1950,6044
Robert,M,1951,9055
Patricia,F,1951,5679
Patricia,F,1952,5307
Robert,M,1952,9224
Robert,M,1953,9064
Mary,F,1953,4917
Mary,F,1954,5467
Robert,M,1954,8902
Susan,F,1955,5137
Robert,M,1955,8815
Susan,F,1956,5092
Michael,M,1956,8705
Mary,F,1957,5265
Michael,M,1957,9113
Michael,M,1958,9206
Susan,F,1958,5013
John,M,1959,8714
Mary,F,1959,4870
Mary,F,1960,4631
Michael,M,1960,8932
Michael,M,1961,9057
Mary,F,1961,4430
Michael,M,1962,8865
Lisa,F,1962,4042
Lisa,F,1963,5136
Michael,M,1963,9246
John,M,1964,8891
Lisa,F,1964,4963
Michael,M,1965,8674
Lisa,F,1965,5614
Michael,M,1966,8547
Lisa,F,1966,5141
Michael,M,1967,8197
Lisa,F,1967,4824
Lisa,F,1968,4496
Michael,M,1968,8078
Michael,M,1969,8245
Lisa,F,1969,4171
Michael,M,1970,8197
Jennifer,F,1970,4696
Michael,M,1971,6838
Jennifer,F,1971,5458
Jennifer,F,1972,6064
Michael,M,1972,6345
Jennifer,F,1973,5647
Michael,M,1973,5881
Jennifer,F,1974,5675
Michael,M,1974,6062
Jennifer,F,1975,5321
Michael,M,1975,6217
Jennifer,F,1976,5572
Michael,M,1976,6184
Michael,M,1977,6323
Jennifer,F,1977,5542
Michael,M,1978,6492
Jennifer,F,1978,5295
Michael,M,1979,6584
Jennifer,F,1979,5461
Michael,M,1980,6906
Jennifer,F,1980,5610
Michael,M,1981,7149
Jennifer,F,1981,5629
Jennifer,F,1982,5812
Michael,M,1982,7161
Michael,M,1983,7396
Jennifer,F,1983,5829
Michael,M,1984,7476
Jennifer,F,1984,5518
Michael,M,1985,7215
Jessica,F,1985,5535
Michael,M,1986,7260
Jessica,F,1986,5964
Michael,M,1987,7451
Jessica,F,1987,6845
Michael,M,1988,7760
Jessica,F,1988,6491
Michael,M,1989,7853
Jessica,F,1989,6536
Jessica,F,1990,6635
Michael,M,1990,8240
Jessica,F,1991,6950
Michael,M,1991,7572
Jessica,F,1992,6341
Michael,M,1992,6637
Michael,M,1993,5846
Jessica,F,1993,5551
Daniel,M,1994,5117
Jessica,F,1994,5306
Jessica,F,1995,4620
Daniel,M,1995,5003
Daniel,M,1996,4704
Jessica,F,1996,3837
Jessica,F,1997,3217
Daniel,M,1997,4452
Jessica,F,1998,2846
Daniel,M,1998,4317
Emily,F,1999,2825
Daniel,M,1999,4353
Emily,F,2000,2958
Daniel,M,2000,4339
Emily,F,2001,2928
Daniel,M,2001,4165
Emily,F,2002,3019
Daniel,M,2002,4132
Emily,F,2003,3415
Daniel,M,2003,4033
Emily,F,2004,3416
Daniel,M,2004,4169
Emily,F,2005,3283
Daniel,M,2005,3914
Daniel,M,2006,3830
Emily,F,2006,3104
Emily,F,2007,2964
Daniel,M,2007,3869
Isabella,F,2008,2788
Daniel,M,2008,3753
Isabella,F,2009,3161
Daniel,M,2009,3392
Isabella,F,2010,3366
Jacob,M,2010,3351
Sophia,F,2011,3566
Jacob,M,2011,3171
Jacob,M,2012,2978
Sophia,F,2012,3643
Sophia,F,2013,3465
Jacob,M,2013,2887
Sophia,F,2014,3179
Noah,M,2014,2776
Noah,M,2015,2767
Sophia,F,2015,2954
Noah,M,2016,2688
Mia,F,2016,2794
Emma,F,2017,2726
Noah,M,2017,2511
