name,gender,cur_year,number,state
Mary,F,1911,3188,PA
Mary,F,1912,4106,PA
Mary,F,1913,4739,PA
Mary,F,1914,5981,PA
Mary,F,1915,7970,PA
Mary,F,1916,7730,PA
Mary,F,1917,7988,PA
Mary,F,1918,8184,PA
Mary,F,1919,7428,PA
Mary,F,1920,7650,PA
Mary,F,1921,7771,PA
Mary,F,1922,7302,PA
John,M,1923,7212,PA
John,M,1924,7262,PA
John,M,1925,6937,PA
John,M,1926,6650,PA
John,M,1927,6683,PA
John,M,1928,6353,NY
John,M,1929,6254,NY
John,M,1930,6238,NY
Robert,M,1931,5952,NY
John,M,1932,5870,NY
John,M,1933,5713,NY
Robert,M,1934,5591,NY
Robert,M,1935,5763,NY
Robert,M,1936,6121,NY
Robert,M,1937,6530,NY
Robert,M,1938,6477,NY
Robert,M,1939,6113,NY
Robert,M,1940,6283,NY
Robert,M,1941,6563,NY
Robert,M,1942,7661,NY
Robert,M,1943,7922,NY
Robert,M,1944,7225,NY
Robert,M,1945,7607,NY
Robert,M,1946,9296,NY
Robert,M,1947,10020,NY
Robert,M,1948,9014,NY
Robert,M,1949,8851,NY
Robert,M,1950,8627,NY
Robert,M,1951,9055,NY
Robert,M,1952,9224,NY
Robert,M,1953,9064,NY
Robert,M,1954,8902,NY
Robert,M,1955,8815,NY
Michael,M,1956,8705,NY
Michael,M,1957,9113,NY
Michael,M,1958,9206,NY
John,M,1959,8714,NY
Michael,M,1960,8932,NY
Michael,M,1961,9057,NY
Michael,M,1962,8865,NY
Michael,M,1963,9246,NY
John,M,1964,8891,NY
Michael,M,1965,8674,NY
Michael,M,1966,8547,NY
Michael,M,1967,8197,NY
Michael,M,1968,8078,CA
Michael,M,1969,8245,CA
Michael,M,1970,8197,CA
Michael,M,1971,6838,NY
Michael,M,1972,6345,CA
Michael,M,1973,5881,CA
Michael,M,1974,6062,CA
Michael,M,1975,6217,CA
Michael,M,1976,6184,CA
Michael,M,1977,6323,CA
Michael,M,1978,6492,CA
Michael,M,1979,6584,CA
Michael,M,1980,6906,CA
Michael,M,1981,7149,CA
Michael,M,1982,7161,CA
Michael,M,1983,7396,CA
Michael,M,1984,7476,CA
Michael,M,1985,7215,CA
Michael,M,1986,7260,CA
Michael,M,1987,7451,CA
Michael,M,1988,7760,CA
Michael,M,1989,7853,CA
Michael,M,1990,8240,CA
Michael,M,1991,7572,CA
Michael,M,1992,6637,CA
Michael,M,1993,5846,CA
Jessica,F,1994,5306,CA
Daniel,M,1995,5003,CA
Daniel,M,1996,4704,CA
Daniel,M,1997,4452,CA
Daniel,M,1998,4317,CA
Daniel,M,1999,4353,CA
Daniel,M,2000,4339,CA
Daniel,M,2001,4165,CA
Daniel,M,2002,4132,CA
Daniel,M,2003,4033,CA
Daniel,M,2004,4169,CA
Daniel,M,2005,3914,CA
Daniel,M,2006,3830,CA
Daniel,M,2007,3869,CA
Daniel,M,2008,3753,CA
Daniel,M,2009,3392,CA
Isabella,F,2010,3366,CA
Sophia,F,2011,3566,CA
Sophia,F,2012,3643,CA
Sophia,F,2013,3465,CA
Sophia,F,2014,3179,CA
Sophia,F,2015,2954,CA
Mia,F,2016,2794,CA
Emma,F,2017,2726,CA
