cur_year	gender		Daniel	Emma	Isabella	Jessica	John	Mary	Mia	Michael	Robert	Sophia
1911	F							3188				
1912	F							4106				
1913	F							4739				
1914	F							5981				
1915	F							7970				
1916	F							7730				
1917	F							7988				
1918	F							8184				
1919	F							7428				
1920	F							7650				
1921	F							7771				
1922	F							7302				
1923	M						7212					
1924	M						7262					
1925	M						6937					
1926	M						6650					
1927	M						6683					
1928	M						6353					
1929	M						6254					
1930	M						6238					
1931	M										5952	
1932	M						5870					
1933	M						5713					
1934	M										5591	
1935	M										5763	
1936	M										6121	
1937	M										6530	
1938	M										6477	
1939	M										6113	
1940	M										6283	
1941	M										6563	
1942	M										7661	
1943	M										7922	
1944	M										7225	
1945	M										7607	
1946	M										9296	
1947	M										10020	
1948	M										9014	
1949	M										8851	
1950	M										8627	
1951	M										9055	
1952	M										9224	
1953	M										9064	
1954	M										8902	
1955	M										8815	
1956	M									8705		
1957	M									9113		
1958	M									9206		
1959	M						8714					
1960	M									8932		
1961	M									9057		
1962	M									8865		
1963	M									9246		
1964	M						8891					
1965	M									8674		
1966	M									8547		
1967	M									8197		
1968	M									8078		
1969	M									8245		
1970	M									8197		
1971	M									6838		
1972	M									6345		
1973	M									5881		
1974	M									6062		
1975	M									6217		
1976	M									6184		
1977	M									6323		
1978	M									6492		
1979	M									6584		
1980	M									6906		
1981	M									7149		
1982	M									7161		
1983	M									7396		
1984	M									7476		
1985	M									7215		
1986	M									7260		
1987	M									7451		
1988	M									7760		
1989	M									7853		
1990	M									8240		
1991	M									7572		
1992	M									6637		
1993	M									5846		
1994	F					5306						
1995	M		5003									
1996	M		4704									
1997	M		4452									
1998	M		4317									
1999	M		4353									
2000	M		4339									
2001	M		4165									
2002	M		4132									
2003	M		4033									
2004	M		4169									
2005	M		3914									
2006	M		3830									
2007	M		3869									
2008	M		3753									
2009	M		3392									
2010	F				3366							
2011	F											3566
2012	F											3643
2013	F											3465
2014	F											3179
2015	F											2954
2016	F								2794			
2017	F			2726								
